Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-03,92.0,92.5,90.78,91.73,6429647,7984,805.32,6429647
2025-09-04,91.0,91.7,91.0,91.01,439769,1998,220.1,439769
2025-09-05,91.01,92.6,91.0,92.15,292251,1977,147.83,292251
2025-09-08,92.66,96.75,92.61,96.74,759870,2857,265.97,759870
2025-09-09,99.49,101.57,98.67,101.57,1429457,2984,479.04,1429457
2025-09-10,103.0,106.64,102.0,106.64,1433581,3117,459.92,1433581
2025-09-11,109.4,111.4,102.0,108.77,1203881,3471,346.84,1203881
2025-09-12,112.0,112.0,105.0,109.43,256157,1596,160.5,256157
2025-09-15,110.25,110.25,105.2,107.21,172808,1530,112.95,172808
2025-09-16,108.0,111.0,107.74,109.23,896849,1013,885.34,896849
2025-09-17,110.0,131.07,110.0,129.06,5124607,23193,220.95,1330572
