Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-08-18,24.0,25.2,24.0,25.2,169,8,21.12,169
2025-08-19,26.46,26.46,26.46,26.46,133,3,44.33,133
2025-08-20,27.78,27.78,27.78,27.78,74,3,24.67,74
2025-08-21,29.16,29.16,29.16,29.16,1,1,1.0,1
2025-08-22,30.61,30.61,30.61,30.61,331,6,55.17,331
2025-08-25,32.14,32.14,32.14,32.14,13,2,6.5,13
2025-08-26,33.74,33.74,33.74,33.74,32,2,16.0,32
2025-09-01,33.7,35.42,33.7,35.42,300,7,42.86,300
2025-09-08,37.19,37.19,37.19,37.19,121,5,24.2,121
2025-09-15,39.04,39.04,39.04,39.04,70,2,35.0,70
