Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
1995-01-02,23.65,23.65,23.35,23.35,400,,,
1995-01-03,23.65,23.65,23.65,23.65,100,,,
1995-01-18,21.35,21.35,21.0,21.0,200,,,
1995-01-20,20.65,20.65,20.65,20.65,100,,,
1995-01-24,19.35,19.35,19.35,19.35,300,,,
1995-01-25,20.35,20.35,20.35,20.35,100,,,
1995-01-27,20.0,20.0,19.55,19.55,200,,,
1995-02-03,19.65,19.65,19.65,19.65,200,,,
1995-02-09,19.95,20.0,19.95,19.95,300,,,
1995-02-22,16.65,16.65,16.65,16.65,100,,,
1995-02-23,17.0,17.0,16.65,16.65,1100,,,
1995-02-24,17.35,17.35,16.65,16.75,2100,,,
1995-02-28,16.65,16.65,16.0,16.0,300,,,
1995-03-01,16.35,16.35,16.15,16.15,1200,,,
1995-03-02,16.45,16.45,16.0,16.35,1700,,,
1995-03-03,16.35,16.35,16.0,16.25,5000,,,
1995-03-06,16.25,16.65,15.95,16.35,8900,,,
1995-03-07,16.65,16.85,16.2,16.3,5900,,,
1995-03-08,16.65,16.85,16.6,16.85,1500,,,
1995-03-09,16.6,16.95,16.6,16.8,2000,,,
1995-03-10,16.85,17.65,16.8,17.35,1500,,,
1995-03-13,17.55,17.75,17.45,17.45,1200,,,
1995-03-14,17.65,17.85,17.4,17.7,2400,,,
1995-03-15,18.4,20.0,18.4,18.65,2900,,,
1995-03-16,19.0,19.0,18.35,19.0,800,,,
1995-03-20,20.45,20.45,18.65,18.7,500,,,
1995-03-21,18.65,19.0,18.0,18.0,1000,,,
1995-03-23,18.65,18.65,18.35,18.35,200,,,
1995-03-24,18.35,18.65,18.35,18.65,200,,,
1995-03-27,18.65,18.65,18.0,18.0,300,,,
1995-03-28,19.0,19.2,18.75,18.75,400,,,
1995-03-29,18.8,19.35,18.8,19.15,300,,,
1995-03-30,19.35,19.35,19.0,19.0,400,,,
1995-04-03,18.85,18.85,18.85,18.85,100,,,
1995-04-04,18.0,18.0,18.0,18.0,100,,,
1995-04-06,19.0,19.35,19.0,19.0,300,,,
1995-04-07,18.8,18.8,18.65,18.65,200,,,
1995-04-10,18.35,18.35,18.35,18.35,100,,,
1995-04-12,18.25,18.45,18.25,18.45,200,,,
1995-04-17,18.45,18.45,18.35,18.35,300,,,
1995-04-18,18.0,18.0,18.0,18.0,100,,,
1995-04-19,18.0,18.0,17.35,17.65,400,,,
1995-04-20,17.95,17.95,17.95,17.95,800,,,
1995-04-21,17.65,17.65,17.65,17.65,100,,,
1995-04-25,16.65,16.65,16.65,16.65,100,,,
1995-04-26,16.65,16.65,16.65,16.65,200,,,
1995-05-04,13.65,13.65,13.65,13.65,100,,,
1995-05-05,14.05,14.65,14.05,14.65,200,,,
1995-05-08,14.65,15.0,14.65,15.0,200,,,
1995-05-09,14.65,14.8,14.65,14.8,200,,,
1995-05-10,15.4,15.4,15.35,15.35,500,,,
1995-05-12,15.35,15.35,15.35,15.35,400,,,
1995-05-15,15.35,15.35,14.65,14.65,1200,,,
1995-05-16,15.0,15.0,15.0,15.0,300,,,
1995-05-17,15.35,16.0,15.35,16.0,300,,,
1995-05-18,15.65,15.65,15.65,15.65,100,,,
1995-05-19,16.15,16.15,16.15,16.15,200,,,
1995-05-22,16.15,16.15,16.15,16.15,200,,,
1995-05-23,15.65,15.65,15.65,15.65,900,,,
1995-05-25,16.95,17.0,16.55,16.55,400,,,
1995-05-26,16.35,16.35,16.35,16.35,200,,,
1995-05-29,16.0,17.0,16.0,16.8,800,,,
1995-05-30,17.35,17.35,16.65,17.05,400,,,
1995-05-31,17.0,17.0,17.0,17.0,100,,,
1995-06-01,17.15,17.35,16.95,16.95,600,,,
1995-06-02,17.0,17.0,16.75,16.75,500,,,
1995-06-05,16.85,16.85,16.25,16.25,500,,,
1995-06-06,16.35,16.4,16.35,16.4,400,,,
1995-06-08,16.65,16.65,16.65,16.65,200,,,
1995-06-09,15.65,15.65,15.65,15.65,100,,,
1995-06-12,16.4,16.4,16.35,16.35,300,,,
1995-06-13,16.45,16.45,16.25,16.25,300,,,
1995-06-14,16.15,16.15,16.15,16.15,100,,,
