Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-04,113.01,128.98,100.41,103.35,166945,3927,42.51,75207
2025-09-05,104.35,104.35,98.41,100.14,23793,989,24.06,7082
2025-09-08,100.8,103.98,97.81,102.28,7156,451,15.87,2986
2025-09-09,103.8,120.0,97.55,109.75,396195,6535,60.63,44909
2025-09-10,109.47,112.79,106.13,108.76,27394,813,33.69,12120
2025-09-11,107.15,116.0,106.94,112.13,58979,2043,28.87,26290
2025-09-12,111.0,118.2,111.0,115.54,48729,2167,22.49,18416
2025-09-15,116.0,121.0,114.32,117.1,43910,4715,9.31,7242
2025-09-16,118.85,118.85,115.44,117.27,8176,847,9.65,3130
2025-09-17,118.15,122.0,111.1,112.67,41690,2262,18.43,20525
