Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-08-25,43.2,43.2,41.05,41.05,158000,69,2289.86,158000
2025-08-26,39.05,39.05,39.0,39.0,38000,19,2000.0,38000
2025-08-28,37.05,37.05,37.05,37.05,18000,7,2571.43,18000
2025-08-29,35.2,35.2,35.2,35.2,22000,6,3666.67,22000
2025-09-01,33.45,33.45,33.45,33.45,22000,10,2200.0,22000
2025-09-02,31.8,31.8,31.8,31.8,64000,26,2461.54,64000
2025-09-03,30.25,30.25,30.25,30.25,60000,27,2222.22,60000
2025-09-04,28.75,28.75,28.75,28.75,32000,14,2285.71,32000
2025-09-05,27.35,27.35,27.35,27.35,32000,13,2461.54,32000
2025-09-08,26.0,26.5,26.0,26.0,1060000,377,2811.67,1052000
2025-09-09,23.4,23.4,23.4,23.4,270000,91,2967.03,270000
2025-09-10,21.1,21.1,21.1,21.1,236000,82,2878.05,236000
2025-09-11,19.0,23.2,19.0,23.2,1262000,506,2494.07,786000
2025-09-12,24.2,25.5,23.75,25.5,366000,162,2259.26,298000
2025-09-15,26.3,27.95,24.3,25.05,1166000,491,2374.75,714000
2025-09-16,24.95,24.95,23.3,24.0,294000,138,2130.43,194000
2025-09-17,24.0,24.0,22.1,22.85,450000,197,2284.26,258000
