Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2001-12-03,17.0,17.6,16.95,17.25,5637,,,
2001-12-04,17.2,17.2,16.8,16.9,5227,,,
2001-12-05,16.8,17.1,16.1,16.15,20074,,,
2001-12-06,16.5,17.1,15.9,16.0,6738,,,
2001-12-07,16.0,16.5,15.5,15.9,6910,,,
2001-12-10,15.65,15.85,15.3,15.45,6603,,,
2001-12-11,15.5,16.5,15.3,16.3,14236,,,
2001-12-12,16.7,17.4,16.4,16.5,13263,,,
2001-12-13,16.5,16.5,14.0,15.55,10949,,,
2001-12-14,15.7,16.5,15.35,16.05,3094,,,
2001-12-18,16.05,16.1,15.7,15.85,3694,,,
2001-12-19,15.5,15.6,15.0,15.0,4341,,,
2001-12-20,15.0,15.1,14.2,14.6,23069,,,
2001-12-21,14.4,14.45,14.05,14.1,9671,,,
2001-12-24,13.9,14.8,13.15,14.5,16107,,,
2001-12-26,14.1,15.5,14.1,15.1,8056,,,
2001-12-27,15.4,15.5,15.0,15.4,19297,,,
2001-12-28,15.3,16.3,15.0,16.0,21728,,,
2001-12-31,16.3,16.4,16.0,16.15,2317,,,
2002-01-01,16.1,17.1,16.1,16.15,14870,,,
2002-01-02,16.5,16.55,16.2,16.5,9097,,,
2002-01-03,16.7,17.7,16.7,17.5,21433,,,
2002-01-04,18.15,18.45,17.7,18.1,24821,,,
2002-01-07,18.5,19.4,18.2,18.8,21128,,,
2002-01-08,18.5,19.2,18.5,18.75,9141,,,
2002-01-09,18.5,19.15,18.4,18.5,10118,,,
2002-01-10,19.2,19.4,18.6,19.1,13599,,,
2002-01-11,19.5,20.3,19.5,19.95,171430,,,
2002-01-14,20.0,21.9,20.0,21.8,105303,,,
2002-01-15,22.0,23.2,21.5,21.8,52730,,,
2002-01-16,22.0,22.6,21.7,22.05,49820,,,
2002-01-17,22.3,23.4,22.3,23.3,130709,,,
2002-01-18,23.7,25.7,22.85,24.85,199479,,,
2002-01-21,25.4,26.0,24.3,24.6,73321,,,
2002-01-22,25.0,25.45,24.3,25.1,84151,,,
2002-01-23,25.3,25.5,24.9,25.2,75579,,,
2002-01-24,25.3,25.4,24.7,25.2,38351,,,
2002-01-25,24.8,25.5,24.6,25.15,88115,,,
2002-01-28,23.2,25.5,23.2,25.3,91226,,,
2002-01-29,24.1,27.85,24.1,26.85,116587,,,
2002-01-30,26.0,27.0,25.8,26.8,30321,,,
2002-01-31,26.8,27.0,26.4,26.8,20520,,,
2002-02-01,26.7,27.9,26.5,27.25,31470,,,
2002-02-04,28.35,28.35,27.0,27.3,12275,,,
2002-02-05,27.5,27.6,27.0,27.1,12795,,,
2002-02-06,27.55,31.25,26.75,29.4,21855,,,
2002-02-07,30.5,31.9,27.9,30.6,45345,,,
2002-02-08,31.0,31.7,30.0,31.05,23640,,,
2002-02-11,31.6,32.9,30.1,30.7,17231,,,
2002-02-12,30.8,31.5,29.6,29.75,11667,,,
2002-02-13,29.1,31.5,29.0,31.3,22899,,,
2002-02-14,30.5,31.5,30.5,30.95,7876,,,
2002-02-15,30.7,31.1,30.4,30.5,4207,,,
2002-02-18,31.0,31.9,31.0,31.45,12584,,,
2002-02-19,31.3,32.0,31.3,31.8,25803,,,
2002-02-20,31.0,34.9,31.0,34.2,30954,,,
2002-02-21,34.5,35.5,33.6,33.95,31305,,,
2002-02-22,34.0,36.3,34.0,35.85,49932,,,
