Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-08-26,338.0,381.65,333.65,356.4,66991042,812165,82.48,24365988
2025-08-28,363.6,375.0,350.55,354.3,23393115,246165,95.03,4742845
2025-08-29,356.0,362.75,334.3,336.55,9919649,147413,67.29,2500444
2025-09-01,339.85,346.5,326.0,328.3,9424679,134693,69.97,2301719
2025-09-02,330.0,334.05,323.3,325.5,3570328,59504,60.0,1097376
2025-09-03,326.05,339.4,323.0,331.85,5191127,63372,81.92,1373041
2025-09-04,335.0,336.5,321.0,322.15,2518578,44960,56.02,990175
2025-09-05,322.85,324.8,312.5,322.85,3046041,48825,62.39,887155
2025-09-08,331.0,356.7,330.45,346.9,16673073,184966,90.14,3401040
2025-09-09,349.8,363.95,342.25,360.6,11778010,125175,94.09,2803559
2025-09-10,385.0,407.95,371.15,378.8,66224952,555411,119.24,10529789
2025-09-11,380.9,382.0,365.7,370.15,10342011,113637,91.01,2250273
2025-09-12,376.0,376.0,354.6,357.25,6786084,74524,91.06,2263971
2025-09-15,360.8,370.95,357.45,361.45,6269905,93893,66.78,1510398
2025-09-16,363.45,365.8,354.5,356.2,3493388,41687,83.8,1088553
2025-09-17,355.0,355.7,346.35,348.3,3825279,46825,81.69,1514173
